CÓD. AGENTE,FORNECEDOR,MÉDIA IQF,DATA
20024,BRUXAXA - INDUSTRIA E COMERCIO DE VASSOURAS E UTENSILIOS LTDA,100,2025-04-11 14:39:47
3284,BT EQUIPAMENTOS INDUSTRIAIS EIRELI,90.62,2025-04-14 00:00:00
3284,BT EQUIPAMENTOS INDUSTRIAIS EIRELI,88.12,2025-04-14 11:06:42
3284,BT EQUIPAMENTOS INDUSTRIAIS EIRELI,100,2025-04-24 15:05:04
3284,BT EQUIPAMENTOS INDUSTRIAIS EIRELI,82.5,2025-04-25 00:00:00
3284,BT EQUIPAMENTOS INDUSTRIAIS EIRELI,83.28,2025-04-30 00:00:00
18230,BUNKER SEGURANÇA E VIGILÂNCIA PATRIMONIAL EIRELI,100,2025-04-02 00:00:00
3303,BUNZL EQUIPAMENTOS PARA PROTECAO INDIVIDUAL LTDA,74.37,2025-04-16 08:47:06
3303,BUNZL EQUIPAMENTOS PARA PROTECAO INDIVIDUAL LTDA,91.25,2025-04-30 16:15:05
3755,BUNZL EQUIPAMENTOS PARA PROTECAO INDIVIDUAL LTDA,100,2025-04-30 14:24:29
3822,C G P COSTA DISTRIBUIDORA DE AGUA LTDA,90,2025-04-08 11:32:05
3822,C G P COSTA DISTRIBUIDORA DE AGUA LTDA,80,2025-04-16 00:00:00
3822,C G P COSTA DISTRIBUIDORA DE AGUA LTDA,93.75,2025-04-28 15:06:13
17016,C P LIRIO DOS SANTOS MATERIAIS PARA ESCRITORIO,100,2025-04-14 00:00:00
17016,C P LIRIO DOS SANTOS MATERIAIS PARA ESCRITORIO,93.75,2025-04-15 00:00:00
20961,C&C COMERCIO E SERVICOS DE MATERIAIS CONTRA INCENDIO LTDA,100,2025-04-30 00:00:00
15823,C.E. CENTRO DE APRENDIZAGEM E CRESCIMENTO PROFISSIONAL LTDA,10,2025-04-09 00:00:00
10828,CABEMA CABOS DE ACO LTDA.,78.12,2025-04-15 11:04:51
20267,CACTUS COMERCIO E SERVICO DE MATERIAL ELETRICO LTDA,100,2025-04-15 17:44:49
19248,CALMAR MANUTENCAO E COMERCIO DE MAQUINAS LTDA,98.75,2025-04-02 00:00:00
19248,CALMAR MANUTENCAO E COMERCIO DE MAQUINAS LTDA,100,2025-04-09 00:00:00
19248,CALMAR MANUTENCAO E COMERCIO DE MAQUINAS LTDA,100,2025-04-24 00:00:00
19248,CALMAR MANUTENCAO E COMERCIO DE MAQUINAS LTDA,100,2025-04-28 11:27:50
18907,CARLOS ALBERTO ARRUDA SALLES MARQUES E CIA LTDA,88.75,2025-04-30 00:00:00
15552,CARVALHO E SUASSUNA LTDA,100,2025-04-09 11:38:33
16207,CASA DO EPI DISTRIBUIDORA LTDA,100,2025-04-08 17:13:23
16207,CASA DO EPI DISTRIBUIDORA LTDA,100,2025-04-30 00:00:00
4760,CELPE,100,2025-04-28 00:00:00
4760,CELPE,100,2025-04-30 00:00:00
4659,CENCI & CIA LTDA,73.12,2025-04-14 11:30:54
17441,CENCI & CIA LTDA,74.37,2025-04-14 12:00:38
17441,CENCI & CIA LTDA,84.58333333333333,2025-04-30 00:00:00
17441,CENCI & CIA LTDA,80,2025-04-30 14:22:43
15560,CETEQ - METROLOGIA,100,2025-04-23 00:00:00
21114,CHAPIRES COMERCIO DE CHAS LTDA,100,2025-04-30 00:00:00
4637,CIAPE - CENTRO INTEGRADO DE APOIO PEDAGOGICO E EDUCACIONAL,10,2025-04-09 00:00:00
16591,CIL - COMERCIO DE INFORMATICA LTDA,100,2025-04-30 00:00:00
8419,CILAM COMERCIO DE MATERIAL DE PROTECAO LTDA,100,2025-04-28 08:48:53
3395,CIONA COMERCIO DE PNEUS LTDA,92.5,2025-04-08 11:40:55
15798,CLARO S.A.,90,2025-04-28 00:00:00
15798,CLARO S.A.,90,2025-04-29 00:00:00
15798,CLARO S.A.,90,2025-04-30 00:00:00
7586,CLARUS COMERCIO DE EPI'S E FERRAMENTAS LTDA,100,2025-04-15 16:34:07
7901,CLEAN-MIX PRODUTOS DE HIGIENE E LIMPEZA LTDA,78.12,2025-04-14 11:08:16
7901,CLEAN-MIX PRODUTOS DE HIGIENE E LIMPEZA LTDA,80,2025-04-15 08:49:08
7901,CLEAN-MIX PRODUTOS DE HIGIENE E LIMPEZA LTDA,80,2025-04-16 12:48:34
7901,CLEAN-MIX PRODUTOS DE HIGIENE E LIMPEZA LTDA,90.62,2025-04-29 09:22:09
7901,CLEAN-MIX PRODUTOS DE HIGIENE E LIMPEZA LTDA,78.75,2025-04-30 11:21:18
15582,CLIMEG - MEDICINA E SEGURANCA DO TRABALHO LTDA,100,2025-04-16 00:00:00
20101,CLIMOCE MEDICINA E SEGURANCA DO TRABALHO LTDA,100,2025-04-10 00:00:00
15802,CLIMOL CLINICA MEDICA OCUPACIONAL LTDA,90,2025-04-30 00:00:00
17069,CLINIPAM - CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA,88.435,2025-04-30 00:00:00
7785,CLOMAC PARAFUSOS E FERRAMENTAS LTDA,100,2025-04-08 11:13:28
4934,COMERCIAL CANAL LTDA,100,2025-04-23 16:22:47
3952,COMERCIAL ELETRICA P.J.LTDA,68.75,2025-04-15 09:40:08
3952,COMERCIAL ELETRICA P.J.LTDA,70.62,2025-04-15 11:52:05
21135,COMERCIAL ELETRICA P.J.LTDA,86.25,2025-04-29 09:29:43
8232,COMERCIAL ELETRICA PJ LTDA.,73.75,2025-04-30 00:00:00
20904,COMERCIAL GERMANICA LIMITADA,100,2025-04-01 08:01:20
21115,COMERCIAL GERMANICA LIMITADA,100,2025-04-15 15:59:18
21115,COMERCIAL GERMANICA LIMITADA,100,2025-04-24 00:00:00
20730,COMERCIO DE LUBRIFICANTES NORD LTDA,97.5,2025-04-14 14:33:11
15763,COMPANHIA ARCLIMA DE ENGENHARIA SA,100,2025-04-10 00:00:00
15992,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN,100,2025-04-14 00:00:00
2968,COMPANHIA PERNAMBUCANA DE SANEAMENTO,100,2025-04-11 00:00:00
2968,COMPANHIA PERNAMBUCANA DE SANEAMENTO,100,2025-04-30 00:00:00
4004,CONCRECON CONCRETO E CONSTRUCOES LTDA,100,2025-04-14 00:00:00
17989,CONCRET MATERIAIS DE CONSTRUCAO LTDA,100,2025-04-15 13:39:09
4285,CONSTRUMAQ INDUSTRIA DE MAQUINAS E EQUIPAMENTOS LTDA,85,2025-04-30 00:00:00
7186,CONTATO SEGURO PREVENCAO DE RISCOS EMPRESARIAIS LTDA,98.12,2025-04-03 00:00:00
19651,CONTINENTAL FERRAMENTAS E EQUIPAMENTOS LTDA,90,2025-04-30 00:00:00
19651,CONTINENTAL FERRAMENTAS E EQUIPAMENTOS LTDA,88.75,2025-04-30 11:15:22
